Image,Accuracy,Recall,Precision,F1-Score,AUC-ROC,IoU,Time
frame195.jpg,0.9427083333333334,0.86529284164859,0.7164152298850575,0.7838475142464139,0.9092815199660531,0.6445306188398772,15.774338722229004
frame196.jpg,0.9352083333333333,0.8177362893815636,0.6724237190558434,0.7379949452401011,0.8838498243038552,0.5847797062750334,0.018759965896606445
frame197.jpg,0.914140625,0.7957582800697269,0.5135945996624789,0.6242735042735043,0.8607774751798947,0.4537773359840954,0.013013601303100586
frame198.jpg,0.9177604166666666,0.7983021077283372,0.5248267898383372,0.633302368787738,0.8638634938367274,0.46338147833474935,0.01099705696105957
frame199.jpg,0.9263802083333333,0.8194666058810121,0.6385435168738899,0.717779774383548,0.8798182704529278,0.5597944565555901,0.010019779205322266
frame200.jpg,0.9426822916666666,0.8930731707317073,0.7346709470304976,0.8061646851607223,0.9216981180480475,0.6752729418707584,0.009009838104248047
frame201.jpg,0.9282552083333333,0.8355359765051396,0.7456319161327898,0.7880280064630301,0.8907003423785653,0.6502031488065008,0.0013055801391601562
frame202.jpg,0.9270572916666666,0.8180595258113335,0.7389125151883353,0.776474343627803,0.8825453084638586,0.6346204017740673,0.008997678756713867
frame203.jpg,0.917734375,0.7191312109491222,0.7918099918099918,0.7537226163561237,0.8395043642345839,0.6047791817840611,0.003320455551147461
frame204.jpg,0.9313541666666667,0.8164315108759553,0.8002016709881878,0.8082351229448568,0.8862667745543216,0.6781833719936515,0.009968757629394531
frame205.jpg,0.9366145833333334,0.8372024684102263,0.8112186788154897,0.8240057845263918,0.8976162370537553,0.7006886374815543,0.007163524627685547
frame206.jpg,0.9488020833333334,0.9196809497310332,0.7638268371591435,0.834539639791281,0.9366195351218103,0.7160600808781051,0.0
frame207.jpg,0.9353385416666666,0.940536013400335,0.5974463557368328,0.7307233488775621,0.937669925248045,0.5757006151742994,0.009999513626098633
frame208.jpg,0.9142447916666666,0.8629801144102425,0.5317220543806647,0.6580122546474193,0.8913218980297923,0.4903265748336171,0.008070707321166992
frame209.jpg,0.9151302083333334,0.8779966769522906,0.5740223463687151,0.6941916111476025,0.8988514990342522,0.531618281115263,0.018655061721801758
frame210.jpg,0.9240104166666666,0.8209435310936383,0.7056835637480798,0.7589624979349084,0.881268009907263,0.6115548455804047,0.014026641845703125
frame211.jpg,0.9375,0.8338205877827358,0.8041252411336993,0.8187037316815228,0.8962212872771552,0.6930553779255659,0.0
frame212.jpg,0.9133333333333333,0.7587165527626549,0.8402822322001283,0.797419040662284,0.8584458565875961,0.6630896942700951,0.011389732360839844
frame213.jpg,0.9175520833333334,0.7795845697329377,0.833819982226736,0.8057907005275426,0.8679574224811476,0.6747483049106225,0.00458216667175293
frame214.jpg,0.9335416666666667,0.816158940397351,0.8411138411138411,0.8284485076633504,0.8892139920787404,0.707137938948818,0.0019032955169677734
frame215.jpg,0.9315364583333333,0.8058909380390076,0.8389502762430939,0.8220883805914597,0.8840555360901061,0.6979202573825117,0.009281396865844727
frame216.jpg,0.955390625,0.9138190414786159,0.7641984184040259,0.8323382597631399,0.9374707558120551,0.7128248113998323,0.00800013542175293
frame217.jpg,0.9444791666666666,0.9645710316081972,0.5776991886831704,0.7226125422846734,0.9537108698200328,0.5656956610307599,0.012002229690551758
frame218.jpg,0.9473177083333333,0.940512255576976,0.6539639984680199,0.7714898904326217,0.9442703358473911,0.6279882309672674,0.012177228927612305
frame219.jpg,0.9484114583333333,0.9519909630048009,0.6505210343496719,0.7728992319156253,0.9500194064572185,0.6298579970104634,0.005131721496582031
frame220.jpg,0.949921875,0.9514588859416445,0.6733621175145486,0.7886116302077609,0.9506067170106722,0.6509981851179674,0.012577295303344727
frame221.jpg,0.9399739583333333,0.9033374536464771,0.65625,0.7602205346926038,0.9238125195753852,0.6131901325725793,0.01800251007080078
frame222.jpg,0.9351822916666667,0.8761763249133234,0.6401302695856703,0.7397804495556718,0.9091463080826439,0.5870250539240086,0.01470494270324707
frame223.jpg,0.9175260416666666,0.9095423909187655,0.46822498173849525,0.6182037371910789,0.9138504793468507,0.44739138021287733,0.011176586151123047
frame224.jpg,0.9444270833333334,0.894214527027027,0.7217109747784595,0.7987551867219918,0.9228528671256807,0.6649395509499136,0.004431962966918945

Mean,0.9328368615591398,0.859101169788316,0.6950649762545922,0.7614959686781395,0.9027787037591003,0.6185830259630588,0.5176593565171764
